NDC,ATC
atazanavir 150 MG Oral Capsule [Reyataz],DIRECT ACTING ANTIVIRALS
Lamivudine 150 MG Oral Tablet [Epivir],DIRECT ACTING ANTIVIRALS
abacavir 300 MG Oral Tablet [Ziagen],DIRECT ACTING ANTIVIRALS
ritonavir 100 MG Oral Tablet [Norvir],DIRECT ACTING ANTIVIRALS
250 ML foscarnet sodium 24 MG/ML Injection,DIRECT ACTING ANTIVIRALS
Ropivacaine hydrochloride 1 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
methadone hydrochloride 2 MG/ML Oral Solution,DRUGS USED IN ADDICTIVE DISORDERS
methadone hydrochloride 10 MG/ML Oral Solution [Methadose],DRUGS USED IN ADDICTIVE DISORDERS
celecoxib 200 MG Oral Capsule [Celebrex],OTHER ANTINEOPLASTIC AGENTS in ATC
celecoxib 100 MG Oral Capsule [Celebrex],OTHER ANTINEOPLASTIC AGENTS in ATC
betaxolol 2.5 MG/ML Ophthalmic Suspension [Betoptic S],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
vitamin B12 0.25 MG Oral Tablet,VITAMIN B<n>12</n> AND FOLIC ACID
Finasteride 5 MG Oral Tablet,OTHER DERMATOLOGICAL PREPARATIONS in ATC
24 HR Nifedipine 90 MG Extended Release Oral Tablet [Adalat],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
clopidogrel 300 MG Oral Tablet [Plavix],ANTITHROMBOTIC AGENTS
0.3 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
1 ML Naloxone Hydrochloride 0.4 MG/ML Injection,DRUGS FOR CONSTIPATION
nifedipine 10 MG Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
acyclovir 200 MG Oral Capsule,DIRECT ACTING ANTIVIRALS
Cladribine 1 MG/ML Injectable Solution [Leustatin],ALL OTHER THERAPEUTIC PRODUCTS
ondansetron 8 MG Disintegrating Oral Tablet,ANTIEMETICS AND ANTINAUSEANTS
12 HR timolol 5 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
Labetalol hydrochloride 100 MG Oral Tablet,BETA BLOCKING AGENTS
isosorbide mononitrate 10 MG Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
oxazepam 10 MG Oral Capsule,ANXIOLYTICS
Levofloxacin 5 MG/ML Injectable Solution [Levaquin],QUINOLONE ANTIBACTERIALS
rosuvastatin calcium 20 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
Digoxin 0.25 MG Oral Tablet [Lanoxin],CARDIAC GLYCOSIDES
betamethasone 0.0005 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
Digoxin 0.125 MG Oral Tablet [Lanoxin],CARDIAC GLYCOSIDES
Colchicine 0.6 MG Oral Tablet,ANTIGOUT PREPARATIONS
Clindamycin 150 MG Oral Capsule,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
midazolam 5 MG/ML Injectable Solution,HYPNOTICS AND SEDATIVES
Fluoxetine 10 MG Oral Capsule,ANTIDEPRESSANTS
acyclovir 400 MG Oral Tablet,DIRECT ACTING ANTIVIRALS
20 ML cytarabine 100 MG/ML Injection,ANTIMETABOLITES
tretinoin 10 MG Oral Capsule,OTHER ANTINEOPLASTIC AGENTS in ATC
4 ML daunorubicin 5 MG/ML Injection,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
lidocaine hydrochloride 20 MG/ML Injectable Solution,"ANTIARRHYTHMICS, CLASS I AND III"
1.6 ML filgrastim 0.3 MG/ML Injection [Neupogen],IMMUNOSTIMULANTS
posaconazole 100 MG Delayed Release Oral Tablet [Noxafil],ANTIMYCOTICS FOR SYSTEMIC USE
voriconazole 200 MG Oral Tablet,ANTIMYCOTICS FOR SYSTEMIC USE
Erythromycin 250 MG Enteric Coated Tablet [Ery-Tab],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
fluconazole 150 MG Oral Tablet,ANTIMYCOTICS FOR SYSTEMIC USE
methadone hydrochloride 5 MG Oral Tablet,DRUGS USED IN ADDICTIVE DISORDERS
aripiprazole 5 MG Oral Tablet,ANTIPSYCHOTICS
0.5 ML sumatriptan 12 MG/ML Injection,ANTIMIGRAINE PREPARATIONS
24 HR Verapamil hydrochloride 120 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
Sumatriptan 50 MG Oral Tablet,ANTIMIGRAINE PREPARATIONS
methylprednisolone 8 MG Oral Tablet [Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
methylprednisolone 2 MG Oral Tablet [Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
buspirone hydrochloride 5 MG Oral Tablet,ANXIOLYTICS
linaclotide 0.29 MG Oral Capsule [Linzess],DRUGS FOR CONSTIPATION
levothyroxine sodium 0.025 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
levothyroxine sodium 0.112 MG Oral Capsule [Tirosint],THYROID PREPARATIONS
Baclofen 10 MG Oral Tablet,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
24 HR divalproex sodium 500 MG Extended Release Oral Tablet,ANTIEPILEPTICS
calcium chloride 0.0014 MEQ/ML / glucose 50 MG/ML / potassium chloride 0.024 MEQ/ML / sodium chloride 0.103 MEQ/ML / sodium lactate 0.028 MEQ/ML Injectable Solution,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
quetiapine 100 MG Oral Tablet [Seroquel],ANTIPSYCHOTICS
Divalproex Sodium 500 MG Enteric Coated Tablet [Depakote],ANTIEPILEPTICS
24 HR divalproex sodium 500 MG Extended Release Oral Tablet [Depakote],ANTIEPILEPTICS
2 ML sodium nitroprusside 25 MG/ML Injection [Nitropress],"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
atorvastatin 20 MG Oral Tablet [Lipitor],"LIPID MODIFYING AGENTS, PLAIN"
12 HR aspirin 25 MG / dipyridamole 200 MG Extended Release Oral Capsule [Aggrenox],OTHER ANALGESICS AND ANTIPYRETICS in ATC
ascorbic acid 100 MG / biotin 0.15 MG / calcium pantothenate 5 MG / folic acid 1 MG / niacin 20 MG / pyridoxine 10 MG / riboflavin 1.7 MG / thiamine mononitrate 1.5 MG / vitamin B12 0.006 MG Oral Capsule [Nephrocaps],VITAMIN B<n>12</n> AND FOLIC ACID
methadone hydrochloride 10 MG Oral Tablet,DRUGS USED IN ADDICTIVE DISORDERS
oseltamivir 75 MG Oral Capsule,DIRECT ACTING ANTIVIRALS
ampicillin 2000 MG / sulbactam 1000 MG Injection [Unasyn],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
dornase alfa 1 MG/ML Inhalation Solution [Pulmozyme],"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
morphine sulfate 30 MG Extended Release Oral Tablet,OPIOID ANALGESICS
168 HR Clonidine 0.00833 MG/HR Transdermal System,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
erythromycin lactobionate 500 MG Injection [Erythrocin],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
penicillin V potassium 500 MG Oral Tablet,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
fluocinonide 0.0005 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
4 ML penicillin G benzathine 600000 UNT/ML Prefilled Syringe [Bicillin L-A],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
ibuprofen 20 MG/ML Oral Suspension,THROAT PREPARATIONS
Moexipril hydrochloride 15 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
100 ML levofloxacin 5 MG/ML Injection,QUINOLONE ANTIBACTERIALS
pramipexole dihydrochloride 0.125 MG Oral Tablet [Mirapex],DOPAMINERGIC AGENTS
aspirin 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule,OTHER ANALGESICS AND ANTIPYRETICS in ATC
Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
flecainide acetate 50 MG Oral Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
verapamil hydrochloride 40 MG Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
verapamil hydrochloride 120 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
risperidone 1 MG Oral Tablet,ANTIPSYCHOTICS
24 HR propranolol hydrochloride 60 MG Extended Release Oral Capsule,BETA BLOCKING AGENTS
haloperidol 5 MG Oral Tablet,ANTIPSYCHOTICS
Risperidone 2 MG Oral Tablet,ANTIPSYCHOTICS
benztropine mesylate 1 MG Oral Tablet,ANTICHOLINERGIC AGENTS
risperidone 1 MG Disintegrating Oral Tablet,ANTIPSYCHOTICS
chlorpheniramine maleate 4 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
hydrocortisone 5 MG/ML Topical Cream,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
clobetasol propionate 0.5 MG/ML Topical Cream,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
clobetasol propionate 0.0005 MG/MG Topical Ointment,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
selegiline hydrochloride 5 MG Oral Capsule [Eldepryl],DOPAMINERGIC AGENTS
24 HR selegiline 0.375 MG/HR Transdermal System [Emsam],ALL OTHER THERAPEUTIC PRODUCTS
acetazolamide 500 MG Injection,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
tolterodine tartrate 1 MG Oral Tablet,UROLOGICALS
nitroglycerin 0.02 MG/MG Topical Ointment [Nitro-Bid],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
sevelamer carbonate 800 MG Oral Tablet,ALL OTHER THERAPEUTIC PRODUCTS
1 ML epoetin alfa 3000 UNT/ML Injection [Epogen],OTHER ANTIANEMIC PREPARATIONS in ATC
FULL SPECTRUM B WITH VIT C TAB,ALL OTHER THERAPEUTIC PRODUCTS
carboxymethylcellulose sodium 0.01 MG/MG Ophthalmic Gel [TheraTears],OTHER OPHTHALMOLOGICALS IN ATC
sevelamer carbonate 800 MG Powder for Oral Suspension [Renvela],ALL OTHER THERAPEUTIC PRODUCTS
daptomycin 500 MG Injection,OTHER ANTIBACTERIALS in ATC
"1 ML heparin sodium, porcine 10000 UNT/ML Injection",ANTITHROMBOTIC AGENTS
Cosyntropin 0.25 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
metoclopramide 5 MG Oral Tablet,PROPULSIVES
capsaicin 0.25 MG/ML Topical Cream,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
FLINTSTONES COMPLETE TABLET,ALL OTHER THERAPEUTIC PRODUCTS
1 ML desmopressin acetate 0.004 MG/ML Injection,POSTERIOR PITUITARY LOBE HORMONES
ascorbic acid 250 MG Chewable Tablet,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
1 ML epoetin alfa 40000 UNT/ML Injection [Procrit],OTHER ANTIANEMIC PREPARATIONS in ATC
ciprofloxacin 250 MG Oral Tablet,QUINOLONE ANTIBACTERIALS
dicloxacillin 500 MG Oral Capsule,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
dorzolamide 20 MG/ML / timolol 5 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
loratadine 10 MG Oral Tablet [Claritin],ANTIHISTAMINES FOR SYSTEMIC USE
Rifampin 300 MG Oral Capsule [Rifadin],DRUGS FOR TREATMENT OF TUBERCULOSIS
50 ML gentamicin 1.2 MG/ML Injection,AMINOGLYCOSIDE ANTIBACTERIALS
rifampin 150 MG Oral Capsule [Rifadin],DRUGS FOR TREATMENT OF TUBERCULOSIS
0.6 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],ANTITHROMBOTIC AGENTS
Fexofenadine hydrochloride 60 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
Adenosine 3 MG/ML Injectable Solution,OTHER CARDIAC PREPARATIONS in ATC
hydrocortisone 10 MG/ML Topical Cream,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
fluoxetine 10 MG Oral Capsule [Prozac],ANTIDEPRESSANTS
aripiprazole 15 MG Oral Tablet,ANTIPSYCHOTICS
24 HR venlafaxine 75 MG Extended Release Oral Capsule,ANTIDEPRESSANTS
clarithromycin 250 MG Oral Tablet,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
topiramate 25 MG Oral Tablet [Topamax],ANTIEPILEPTICS
vitamin B12 0.1 MG Oral Tablet,VITAMIN B<n>12</n> AND FOLIC ACID
phenytoin sodium 100 MG Extended Release Oral Capsule,ANTIEPILEPTICS
phenobarbital 32.4 MG Oral Tablet,ANTIEPILEPTICS
ivermectin 3 MG Oral Tablet [Stromectol],ANTINEMATODAL AGENTS
lamotrigine 25 MG Oral Tablet,ANTIEPILEPTICS
2 ML phenytoin sodium 50 MG/ML Injection,ANTIEPILEPTICS
hydrocortisone 0.025 MG/MG Topical Ointment,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
120 ACTUAT albuterol 0.1 MG/ACTUAT / ipratropium bromide 0.02 MG/ACTUAT Inhalation Spray [Combivent],"ADRENERGICS, INHALANTS"
lamotrigine 100 MG Oral Tablet [Lamictal],ANTIEPILEPTICS
phenobarbital 97.2 MG Oral Tablet,ANTIEPILEPTICS
14 ACTUAT fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
20 ML lacosamide 10 MG/ML Injection [Vimpat],ANTIEPILEPTICS
collagenase 0.25 UNT/MG Topical Ointment [Santyl],ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS
lacosamide 200 MG Oral Tablet [Vimpat],ANTIEPILEPTICS
lacosamide 50 MG Oral Tablet [Vimpat],ANTIEPILEPTICS
lacosamide 150 MG Oral Tablet [Vimpat],ANTIEPILEPTICS
perampanel 2 MG Oral Tablet [FYCOMPA],ANTIEPILEPTICS
acetaminophen 300 MG / codeine phosphate 30 MG Oral Tablet,OPIOID ANALGESICS
Phenobarbital 30 MG Oral Tablet,ANTIEPILEPTICS
50 ML hydromorphone hydrochloride 10 MG/ML Injection,OPIOID ANALGESICS
28 ACTUAT salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Serevent],"ADRENERGICS, INHALANTS"
vitamin E 180 MG Oral Capsule,OTHER PLAIN VITAMIN PREPARATIONS in ATC
Pentoxifylline 400 MG Extended Release Oral Tablet [Trental],PERIPHERAL VASODILATORS
azithromycin 500 MG Injection,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
168 HR clonidine 0.00833 MG/HR Transdermal System,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
10 ML eptifibatide 2 MG/ML Injection [Integrilin],ANTITHROMBOTIC AGENTS
benzocaine 200 MG/ML Mucosal Spray [Hurricaine],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
naproxen 250 MG Oral Tablet,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
clindamycin 10 MG/ML Topical Solution,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
Phenytoin sodium 50 MG/ML Injectable Solution,ANTIEPILEPTICS
Erythromycin 0.005 MG/MG Ophthalmic Ointment,ANTIINFECTIVE OPHTHALMOLOGICS
ciprofloxacin 3 MG/ML Ophthalmic Solution,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
50 ML propofol 10 MG/ML Injection,"ANESTHETICS, GENERAL"
200 ML Nicardipine hydrochloride 0.2 MG/ML Injection [Cardene],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
bortezomib 3.5 MG Injection [Velcade],OTHER ANTINEOPLASTIC AGENTS in ATC
10 ML pamidronate disodium 9 MG/ML Injection,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
clotrimazole 10 MG Oral Lozenge,STOMATOLOGICAL PREPARATIONS
Aluminum Hydroxide 120 MG/ML Oral Suspension [Alternagel],ANTACIDS
sodium fluoride 0.011 MG/MG Toothpaste,STOMATOLOGICAL PREPARATIONS
CAPHOSOL SOLUTION,ALL OTHER THERAPEUTIC PRODUCTS
melphalan 50 MG Injection [Alkeran],ALKYLATING AGENTS
miconazole nitrate 20 MG/ML Topical Cream,ANTIFUNGALS FOR TOPICAL USE
mesna 100 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
cyclophosphamide 1000 MG Injection,ALKYLATING AGENTS
levothyroxine sodium 0.112 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
methimazole 10 MG Oral Tablet,ANTITHYROID PREPARATIONS
Potassium Chloride 10 MEQ Extended Release Oral Capsule,POTASSIUM SUPPLEMENTS
vitamin K1 5 MG Oral Tablet,VITAMIN K AND OTHER HEMOSTATICS
COLLAGENASE 0.25 UNT/MG Topical Ointment [Santyl],ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS
brimonidine tartrate 1.5 MG/ML Ophthalmic Solution,DECONGESTANTS AND ANTIALLERGICS
ampicillin 1000 MG / sulbactam 500 MG Injection [Unasyn],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
pantoprazole 40 MG Oral Granules [Protonix],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
nystatin 100 UNT/MG Topical Ointment,ANTIFUNGALS FOR TOPICAL USE
Zidovudine 100 MG Oral Capsule [Retrovir],DIRECT ACTING ANTIVIRALS
24 HR Propranolol Hydrochloride 60 MG Extended Release Oral Capsule [Inderal],BETA BLOCKING AGENTS
1 ML peginterferon alfa-2a 0.18 MG/ML Injection [Pegasys],IMMUNOSTIMULANTS
tacrolimus 0.5 MG Oral Capsule [Prograf],IMMUNOSUPPRESSANTS
tacrolimus 1 MG Oral Capsule [Prograf],IMMUNOSUPPRESSANTS
tacrolimus 0.5 MG Oral Capsule,IMMUNOSUPPRESSANTS
100 ML milrinone lactate 0.2 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
tolvaptan 15 MG Oral Tablet [Samsca],OTHER DIURETICS in ATC
acetazolamide 250 MG Oral Tablet,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
hydralazine hydrochloride 50 MG Oral Tablet,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
tacrolimus 1 MG Oral Capsule,IMMUNOSUPPRESSANTS
epinephrine 0.005 MG/ML / lidocaine hydrochloride 5 MG/ML Injectable Solution,LOCAL ANESTHETICS
oxycodone hydrochloride 15 MG Oral Tablet,OPIOID ANALGESICS
Hydrocortisone 25 MG Rectal Suppository [Anumed-HC],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
cilostazol 100 MG Oral Tablet,ANTITHROMBOTIC AGENTS
benztropine mesylate 0.5 MG Oral Tablet,ANTICHOLINERGIC AGENTS
phenytoin 50 MG Chewable Tablet [Dilantin],ANTIEPILEPTICS
"insulin aspart, human 100 UNT/ML Injectable Solution [NovoLog]",INSULINS AND ANALOGUES
PRENATAL PLUS TABLET,ALL OTHER THERAPEUTIC PRODUCTS
indomethacin 50 MG Rectal Suppository [Indocin],"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
500 ML magnesium sulfate 40 MG/ML Injection,OTHER MINERAL SUPPLEMENTS in ATC
indomethacin 25 MG Oral Capsule,OTHER CARDIAC PREPARATIONS in ATC
Progesterone 100 MG Oral Capsule [Prometrium],PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
betamethasone 3 MG/ML / betamethasone acetate 3 MG/ML Injectable Suspension,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
sevelamer hydrochloride 400 MG Oral Tablet [RenaGel],ALL OTHER THERAPEUTIC PRODUCTS
galantamine 4 MG Oral Tablet,ANTI-DEMENTIA DRUGS
24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Tiazac],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
quinapril 20 MG Oral Tablet [Accupril],"ACE INHIBITORS, PLAIN"
Nortriptyline 25 MG Oral Capsule,ANTIDEPRESSANTS
Codeine Phosphate 15 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
atorvastatin 10 MG Oral Tablet [Lipitor],"LIPID MODIFYING AGENTS, PLAIN"
acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
ziprasidone 40 MG Oral Capsule [Geodon],ANTIPSYCHOTICS
24 HR divalproex sodium 250 MG Extended Release Oral Tablet,ANTIEPILEPTICS
1000 ML glucose 100 MG/ML Injection,OTHER NUTRIENTS in ATC
Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,OTHER ANALGESICS AND ANTIPYRETICS in ATC
fluoxetine 10 MG Oral Capsule,ANTIDEPRESSANTS
1 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe [Dilaudid],OPIOID ANALGESICS
hydroxyzine hydrochloride 10 MG Oral Tablet,ANXIOLYTICS
levothyroxine sodium 0.125 MG Oral Tablet,THYROID PREPARATIONS
triamcinolone acetonide 1 MG/ML Topical Cream,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
ziprasidone 40 MG Oral Capsule,ANTIPSYCHOTICS
meclizine hydrochloride 12.5 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
carbamide peroxide 65 MG/ML Otic Solution [Murine Ear],ALL OTHER THERAPEUTIC PRODUCTS
water 1000 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
ziprasidone 20 MG Oral Capsule,ANTIPSYCHOTICS
levothyroxine sodium 0.025 MG Oral Tablet,THYROID PREPARATIONS
Vitamin A 800 UNT / Vitamin D 400 UNT Oral Capsule,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
colchicine 0.6 MG Oral Tablet,ANTIGOUT PREPARATIONS
"insulin, regular, human 500 UNT/ML Injectable Solution [Humulin R]",INSULINS AND ANALOGUES
"estrogens, conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]","ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM"
terazosine 1 MG Oral Capsule [Hytrin],DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
eplerenone 50 MG Oral Tablet,POTASSIUM-SPARING DIURETICS
terazosine 5 MG Oral Capsule,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
moxifloxacin 400 MG Oral Tablet [Avelox],QUINOLONE ANTIBACTERIALS
brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt],ANTIGLAUCOMA PREPARATIONS AND MIOTICS
rifampin 300 MG Oral Capsule,DRUGS FOR TREATMENT OF TUBERCULOSIS
1 ML epinephrine 1 MG/ML Injection [Adrenalin],CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
epinephrine 0.01 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution,LOCAL ANESTHETICS
1 ML hydromorphone hydrochloride 2 MG/ML Injection,OPIOID ANALGESICS
valsartan 80 MG Oral Tablet,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
valsartan 40 MG Oral Tablet,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
acetaminophen 500 MG Oral Tablet [Tylenol],OTHER ANALGESICS AND ANTIPYRETICS in ATC
sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS"
prazosin 1 MG Oral Capsule,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
glyburide 5 MG Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
Nefazodone hydrochloride 100 MG Oral Tablet,ANTIDEPRESSANTS
finasteride 5 MG Oral Tablet,OTHER DERMATOLOGICAL PREPARATIONS in ATC
valacyclovir 500 MG Oral Tablet [Valtrex],DIRECT ACTING ANTIVIRALS
infliximab 100 MG Injection [Remicade],IMMUNOSUPPRESSANTS
sulfasalazine 500 MG Delayed Release Oral Tablet,INTESTINAL ANTIINFLAMMATORY AGENTS
azithromycin 250 MG Oral Tablet [Zithromax],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
carvedilol 25 MG Oral Tablet,BETA BLOCKING AGENTS
12 HR guaifenesin 600 MG Extended Release Oral Tablet [Mucinex],"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
12 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet,ANTIDEPRESSANTS
dolutegravir 50 MG Oral Tablet [Tivicay],DIRECT ACTING ANTIVIRALS
polymyxin B 10000 UNT/ML / trimethoprim 1 MG/ML Ophthalmic Solution,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
24 HR testosterone 0.0833 MG/HR Transdermal System [Androderm],ANDROGENS
enalapril maleate 10 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
Donepezil hydrochloride 5 MG Oral Tablet,ANTI-DEMENTIA DRUGS
torsemide 5 MG Oral Tablet,HIGH-CEILING DIURETICS
terbinafine hydrochloride 10 MG/ML Topical Cream [Lamisil],ANTIFUNGALS FOR SYSTEMIC USE
50 ML clindamycin 12 MG/ML Injection,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],VIRAL VACCINES
miconazole nitrate 20 MG/ML Topical Cream [Micaderm],ANTIFUNGALS FOR TOPICAL USE
1 ML epoetin alfa 2000 UNT/ML Injection [Epogen],OTHER ANTIANEMIC PREPARATIONS in ATC
lidocaine hydrochloride 10 MG/ML Injectable Solution [Xylocaine],"ANTIARRHYTHMICS, CLASS I AND III"
succinylcholine chloride 20 MG/ML Injectable Solution [Quelicin],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
20 ML 6-aminocaproic acid 250 MG/ML Injection,ANTIFIBRINOLYTICS
1 ML desmopressin acetate 0.004 MG/ML Injection [DDAVP],POSTERIOR PITUITARY LOBE HORMONES
eplerenone 25 MG Oral Tablet [Inspra],POTASSIUM-SPARING DIURETICS
tamsulosin hydrochloride 0.4 MG Oral Capsule [Flomax],DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
misoprostol 0.2 MG Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
"0.5 ML measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML / mumps virus vaccine live, Jeryl Lynn strain 25000 UNT/ML / rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML Injection [M-M-R II]",VIRAL VACCINES
